Region,Soil_Type,Soil_pH,Organic_Matter_%,Rainfall_mm_per_year,Temperature_C_avg,Climate_Zone,Irrigation_Level,Soil_Fertility,Growing_Season_days,Yield_tons_per_hectare,Best_Crop
Asia,Clay,7.391396294000565,4.399901485922648,546.7318988748591,19.71008026283883,Temperate,Medium,Medium,155,14.282931010812629,Soybean
South America,Loam,7.072556398768066,1.8054551285438976,747.817546776574,16.763796810059766,Continental,Medium,High,96,12.183149974784556,Barley
Africa,Clay,6.01098668931121,4.786551816798429,605.1927553764247,22.29748653035346,Dry,Medium,Medium,129,15.286006078000485,Soybean
Europe,Clay,6.294762780970633,1.3736318879011824,784.4325605974396,15.983181019698645,Continental,High,Medium,158,10.551034181426266,Barley
North America,Loam,7.095828319231789,2.5838818906498195,1174.6595552435092,25.400240328573243,Continental,Medium,Low,137,16.0848097557509,Rice
South America,Clay,7.294372681929238,1.6754168267107445,991.3713758551148,12.171640634858914,Continental,Medium,High,122,12.59756002373168,Barley
South America,Sandy,7.435511754206778,4.427495744300376,1000.6996907105729,16.860417387009587,Dry,Low,High,98,15.115729993432419,Barley
Europe,Loam,5.83190979059157,4.527711033218576,1082.4441110830858,25.743667414647195,Tropical,High,Low,148,18.473660621993197,Rice
North America,Sandy,7.446914779952346,2.347362007444413,695.2006853089288,13.713943625712313,Tropical,High,Low,98,10.552306608348676,Barley
North America,Sandy,6.008643962356634,4.2770204194858445,1063.519507121592,13.360317431157739,Dry,Medium,High,165,15.288898399072085,Barley
South America,Clay,5.783943979521988,2.3917656463286665,752.2135801660611,18.165877940926563,Temperate,Low,Medium,136,12.147923451266514,Soybean
Europe,Sandy,5.752529483129005,3.704710248301736,557.2145238694872,20.18975218145223,Continental,High,Medium,155,13.67453876850381,Soybean
North America,Loam,5.931059737582664,2.4415112797213903,973.569388606259,18.109569495083328,Dry,Medium,Low,110,13.010880740162863,Wheat
South America,Sandy,5.500376799113164,1.67632428142397,835.9163563879196,24.296286124999202,Dry,Low,High,135,14.482615917494906,Corn
South America,Sandy,6.458140126206702,1.07200035578086,1061.5157621519966,18.113608970581556,Continental,Medium,High,129,13.765251951843643,Corn
Europe,Loam,5.5360131112009086,4.851241428296104,838.0999359558133,23.694052404437514,Temperate,High,High,152,17.98739228575373,Corn
Europe,Loam,5.725160780823874,3.814743909843183,931.8761172373903,18.06761641374013,Continental,High,Low,150,14.071524364472102,Wheat
Europe,Sandy,6.099838223013969,3.9727727949264136,756.2758577682538,11.968114971954098,Continental,Low,Medium,157,11.739649033525433,Barley
North America,Clay,7.176304367103849,2.1411613534292657,911.8318577806369,31.264434411098748,Tropical,Low,Medium,101,16.486444776532814,Rice
Africa,Sandy,7.257957800564535,3.287089408193289,1032.375660521638,24.87598814891215,Dry,Low,Low,134,15.504893358806388,Rice
South America,Clay,5.829649350693524,1.68232764622836,722.2851793521747,15.575918166551766,Continental,Medium,High,110,12.2409637399685,Barley
Africa,Loam,7.073500670308874,4.883064825899131,1149.9162610544997,18.18631043257776,Continental,High,High,155,17.360626565462013,Corn
Asia,Loam,7.282960031247013,1.011684130485448,675.2789130141587,12.256185389383607,Dry,Low,Low,150,7.556712940821591,Barley
North America,Clay,6.4394875259813675,2.7898725652898313,792.5926405903176,31.48221538402594,Tropical,Low,Low,173,15.386220617041426,Soybean
Europe,Sandy,6.644097286738601,3.0506709038256656,1016.8959166146142,17.112349532462233,Tropical,Medium,Low,143,13.078654768088953,Barley
Africa,Sandy,7.248445049370352,2.9741863213604747,934.2680152900931,20.517720693196964,Tropical,Low,Low,100,12.124895731039038,Soybean
North America,Loam,6.959720617696957,4.529034224379391,726.0862294292438,14.382418975445855,Tropical,High,Medium,150,13.754395000285202,Barley
Europe,Sandy,5.504207686351767,3.8702884989263775,1106.264748915894,23.43931663593509,Temperate,High,Medium,136,17.66918229580013,Rice
Europe,Loam,6.4124730179110845,2.4762120870436664,746.2938704188335,15.544038872923563,Continental,Medium,Medium,108,12.24166817675369,Barley
Europe,Sandy,6.837145293445828,3.714679826690259,1239.8196361113405,22.559620455146373,Continental,Medium,High,155,17.854574061471784,Rice
North America,Loam,6.725146936689638,4.49479437386538,941.6428846513114,21.166080656317508,Tropical,Medium,Medium,173,16.619613522943013,Wheat
Africa,Clay,6.090081415308313,2.944001975190412,952.3607556173566,19.833850046777695,Dry,Medium,Medium,134,14.263101943636153,Soybean
Asia,Sandy,7.133446405117089,1.26953821914209,765.072429638014,12.574889208595511,Tropical,Medium,Low,110,8.790345831160494,Barley
North America,Sandy,5.952558216428463,2.5369584805495253,1155.0621785219023,21.311811901618313,Dry,Low,Low,156,14.724018253027646,Soybean
South America,Loam,6.242344846875255,3.404296667200932,958.6977441104426,11.257340133809096,Tropical,High,High,122,14.092667844822346,Barley
South America,Sandy,5.550895519811502,3.583289545145937,1417.431030039681,15.17797872694154,Dry,Low,Low,124,14.292102086601698,Barley
North America,Loam,7.19427897938757,3.1243413795409714,626.8973630447987,21.041776479796397,Dry,High,Medium,137,14.69218678757086,Wheat
Africa,Clay,5.6986044055073855,1.83545628282296,707.5807962697204,14.426261463375553,Tropical,Medium,High,153,11.382985374399775,Barley
North America,Clay,6.0784895439453095,4.600332732065922,748.2407874665795,27.993235852523583,Dry,Medium,Medium,126,17.072723843284212,Soybean
South America,Clay,5.80316858573976,1.123750578925368,845.7964850122156,21.009497798142252,Continental,Low,Low,111,11.041872821310358,Soybean
South America,Sandy,5.993814853335171,4.354196859611313,546.3928900997694,20.6166453719527,Tropical,Low,Low,92,11.868614546488232,Soybean
North America,Clay,7.1613770210401535,3.179310630180747,625.3180731824383,14.4265731937001,Tropical,Low,Medium,90,11.171140681900116,Barley
South America,Loam,5.914618006375116,4.129553317840349,864.8799943575823,18.210444548094188,Continental,Low,High,171,15.141655807987732,Corn
Asia,Loam,6.921769433364638,4.627771235339336,1191.6694908441189,20.423914323219794,Tropical,High,Low,153,16.745412468533786,Wheat
North America,Sandy,5.761304687646926,4.16203917709954,1017.1572649878694,20.48991576735448,Temperate,High,Medium,94,16.029649689480216,Soybean
Asia,Clay,7.009242443197183,2.967724400422916,974.6338861386932,15.453176151796935,Tropical,High,High,144,14.397739658145385,Barley
Asia,Clay,6.522550924401502,2.9693019200047277,680.8677411913015,26.872190465854086,Dry,Low,Medium,170,15.238415511710656,Soybean
South America,Loam,7.28618041039083,1.2498303744762858,732.6204348833018,25.829030096041926,Tropical,High,High,127,14.809448012967502,Corn
North America,Loam,5.538232188859528,2.9073738732712684,931.1801553059522,20.973680973593876,Tropical,Low,High,175,15.249884348979839,Corn
Asia,Clay,7.414896038076193,1.0354531404538756,1020.2311524494573,15.528250436622987,Tropical,Medium,Low,108,10.746013654697734,Barley
Asia,Clay,5.785700574601677,4.013711689027876,903.0085346552376,23.578291223789456,Tropical,High,Medium,94,16.83286212543138,Rice
Europe,Loam,6.315086062064862,2.6284259565025105,897.1924565854542,15.898793352756492,Temperate,High,High,164,13.846327124915927,Barley
North America,Loam,7.184148874797159,1.9689248712982677,656.8166298482935,21.680800231380204,Temperate,Low,Low,149,11.587162788927538,Wheat
South America,Clay,7.312222004264994,2.285982804991528,648.899333080049,19.225376990818617,Dry,High,High,142,13.691264149205502,Corn
Europe,Sandy,5.875685705075548,3.8791658134187443,1096.2477097177607,17.607112776892663,Tropical,Medium,Low,121,15.4604494470787,Barley
South America,Clay,6.605001934815778,3.0806795692430047,541.9271030914329,22.381788846781095,Temperate,Medium,Medium,166,13.441450904469212,Soybean
North America,Loam,6.043094094822485,2.6097865497346757,911.2435157995005,24.0611989046961,Continental,Medium,High,146,15.86251002265317,Rice
Asia,Clay,6.433935999927222,2.361482985223051,798.1399357722771,20.948558643627628,Continental,Medium,Medium,133,13.915259117412319,Soybean
Europe,Sandy,7.185423804321109,2.2533916703405725,530.8258153053571,15.903710701392512,Continental,High,Low,171,10.148158342304498,Barley
Europe,Clay,7.188497404811637,3.7033909858573457,988.9943330777463,23.690401874548254,Continental,High,Low,136,16.07024975588297,Rice
Africa,Sandy,6.0961044172788865,1.421459689003426,817.7315181922875,20.986578537027977,Dry,Low,Low,172,11.5200449072683,Soybean
South America,Sandy,5.505762503331229,4.435826741682519,605.9992064981914,26.353497925460957,Dry,High,Medium,102,16.60011472804757,Soybean
Asia,Sandy,6.444563608325963,4.520626951685941,924.4414288086804,14.305834411096154,Tropical,High,Medium,176,13.55357964571297,Barley
South America,Clay,6.658350510749444,1.3413653459372994,963.5779316050057,18.28294450206016,Dry,Medium,Low,102,12.85821280937737,Soybean
Europe,Sandy,6.876088887672028,1.9675555342165838,614.8361633704842,20.506783557732756,Temperate,Medium,Medium,113,12.351902645953839,Soybean
Asia,Loam,6.033350393323955,3.899425997260068,962.6147263258997,23.295156744362014,Tropical,High,High,114,17.283406307511957,Rice
South America,Clay,6.03450525958719,1.87922139529276,746.2010985393317,27.825859662644383,Continental,Medium,Medium,147,14.997964515466174,Soybean
Asia,Loam,5.535104726733258,2.1732344431222588,1019.5684721776545,18.22979644529488,Dry,Medium,Low,122,12.518567962526093,Wheat
Asia,Loam,6.826014692283552,3.193528144782616,1154.2191798621109,29.18803366532355,Continental,Low,Medium,140,18.217438463372385,Rice
Africa,Clay,6.468154139420403,3.989777626386776,935.3932774679075,16.28432867616008,Dry,High,Low,176,13.355585689505892,Barley
South America,Clay,6.801914670236146,3.5783646989693745,837.5605095782176,12.031414923244835,Continental,Medium,Low,121,11.057054988626051,Barley
North America,Clay,7.463306647704895,3.109060723661026,669.9966662659093,14.314293097318888,Continental,High,Medium,157,11.461816947553777,Barley
South America,Loam,6.9499623398481045,3.155252036158476,769.7173539779433,22.082307223780703,Dry,Low,Low,120,12.837556804323286,Wheat
Europe,Clay,6.103833400155004,4.044353224095502,830.351598449748,19.496308772969975,Tropical,Low,High,150,14.464197270526476,Corn
Asia,Sandy,6.419329740805322,3.1863085681291796,968.3056684079518,16.911816953028765,Temperate,Low,Medium,102,14.408594027308336,Barley
Africa,Sandy,7.421253951026399,1.7877028178137135,488.64733082425516,17.853777898506692,Dry,Low,Low,137,9.523808912809615,Barley
North America,Clay,5.852190942661189,1.8558281547529476,964.6457756693645,19.597240540903883,Temperate,Low,High,171,13.900007167516865,Corn
Africa,Clay,7.062697681228812,4.840671138914981,803.8295554831504,18.7954437745319,Continental,Medium,High,175,14.757492751057327,Corn
Africa,Clay,6.143339979319097,4.392168358405936,549.9184532060565,23.022576631776833,Continental,Low,Low,161,12.866336771114844,Soybean
North America,Sandy,6.525440495625256,2.926197361103417,952.1539283918707,19.963999771048318,Tropical,High,Low,156,14.398442559042742,Soybean
South America,Sandy,6.214242318601006,4.150196343435117,820.1040189016323,22.938658262399713,Temperate,High,High,173,15.882110129859083,Corn
Europe,Clay,5.577859926651335,1.1440752731657056,1122.0343058757212,12.368645016388939,Tropical,Medium,Medium,106,11.552313041532134,Barley
Asia,Sandy,6.355003662656223,2.305353723727949,898.359266317616,28.51027577007963,Tropical,Low,Low,108,14.780186014960005,Soybean
Asia,Sandy,5.909360218114568,3.364521213034066,577.8695607500628,18.195542902876966,Tropical,Medium,High,130,11.303912699071466,Corn
North America,Loam,7.258993141456253,2.8400095823231957,518.8490538694089,15.343662101418676,Temperate,Medium,Low,113,10.419069086009065,Barley
Asia,Loam,6.350456370875388,1.1502843615956295,948.9168054399358,11.107062079967417,Temperate,Low,Low,142,9.156756053425898,Barley
Europe,Sandy,5.901120502145966,1.8143135101854417,1073.3672921210891,15.778604907385022,Tropical,Low,Medium,174,11.836901405516434,Barley
North America,Clay,7.19685075818105,2.6905167880544365,650.1937058089809,26.08686784875815,Dry,Medium,High,139,15.639720023619086,Corn
Africa,Sandy,7.3038803934983,4.226774078778957,707.9473196833354,14.322695531509346,Continental,High,High,128,14.070647126006872,Barley
Africa,Sandy,5.83464260800212,4.122526869702229,649.7747886147109,29.01082404215723,Continental,High,High,98,17.941692757519117,Corn
Europe,Loam,6.093119824411861,3.857696656284969,930.0900185072278,12.48459849120091,Continental,Medium,Medium,110,13.510341939955286,Barley
Europe,Loam,5.860391508256296,1.392939968756322,862.3628366954521,13.971189357722306,Continental,Low,Low,159,9.5270198964692,Barley
Europe,Loam,5.561715808616145,1.2075811980736435,716.444040513644,24.711190757486808,Dry,Medium,High,162,13.312084066122644,Corn
South America,Sandy,6.370648442910472,3.197239085920416,555.5576382654157,23.68686567630412,Dry,Low,High,170,14.512205528720273,Corn
North America,Clay,5.969946809991906,3.819484040173527,787.9422017216776,22.273975848211904,Dry,Medium,Low,172,14.330695922703386,Soybean
North America,Sandy,7.4230266779661696,3.857643054506393,1168.4958089134423,14.815244970125292,Tropical,Low,High,108,14.849063938466381,Barley
South America,Loam,6.080091063924874,4.485656136763417,704.2325087983191,15.686121179784397,Dry,Medium,Low,146,11.990827960465776,Barley
North America,Clay,5.825630099353727,1.7476577624338465,954.4189577950578,13.27257581873889,Continental,High,High,101,12.993023498832434,Barley
Africa,Loam,7.255968993969669,3.422019066463506,777.5505066096682,23.51476895953434,Tropical,High,Low,148,14.342986903562746,Wheat
Europe,Loam,7.388897165388607,3.5669375891942328,753.3265422472931,19.220509110316662,Temperate,Low,High,143,13.61219186744155,Corn
North America,Clay,7.454208466103147,1.4124854496323032,794.5420120720598,18.663719427884867,Tropical,Low,Medium,147,11.386613891328718,Soybean
Africa,Clay,6.028552526317279,1.8213317548271992,615.1533711463392,14.458712690920066,Temperate,Low,Low,178,8.039824485516263,Barley
North America,Clay,5.653958934129933,1.302334455416268,817.5156437907178,21.979678378133865,Continental,Medium,Medium,109,12.750009254433131,Soybean
South America,Loam,6.907584621981015,2.4930392578510356,745.6689779347894,30.229086440441428,Continental,High,High,116,17.67702168806383,Corn
Asia,Sandy,5.504037035496468,1.696326701245717,470.440378323193,20.847209154298433,Tropical,Medium,Low,172,10.355970821327029,Soybean
South America,Clay,6.665852113608526,2.012406156718435,855.3586898650576,18.85304627965986,Temperate,Low,Low,125,11.520893783691065,Soybean
North America,Sandy,5.929335727945073,3.659978064951095,1084.892402626527,23.48811685366219,Temperate,Low,Low,163,15.387103445755049,Rice
North America,Loam,6.368806638013219,3.893791271400004,765.1291484194328,11.972674551404769,Tropical,High,Low,115,11.312978149202984,Barley
North America,Sandy,5.682782972663553,1.7970813458672033,961.5061999637619,15.133788433137331,Dry,Low,Low,112,10.74826905323875,Barley
Africa,Loam,6.713463449434872,3.691486674392319,751.5701548352139,28.52507073603515,Continental,Medium,High,171,17.118159678392004,Corn
Asia,Clay,7.073539006714254,2.5897926275963665,434.50512918940194,19.72595682541261,Temperate,High,High,154,13.150930811728658,Corn
Europe,Sandy,6.236897839833158,4.581384356612677,649.4310461228552,11.411029520958696,Tropical,Medium,High,98,12.478005893937235,Barley
Asia,Loam,7.167286268287917,2.9977270794673414,866.0285231578146,24.471839436061874,Tropical,Medium,Low,126,14.3716581954658,Wheat
North America,Clay,6.48219145876633,4.70844251543371,1079.3256959014625,16.54806686930662,Tropical,Low,Medium,168,14.929849056483997,Barley
Europe,Loam,5.818984525082716,1.6418504570849057,548.6986211441488,24.066025933739887,Dry,Medium,Medium,94,13.004810863259156,Wheat
South America,Loam,6.5300113194194465,3.1422152595186903,991.5579470273734,14.57424736721101,Dry,Low,Low,110,11.431130887925644,Barley
Africa,Loam,7.4056300340050125,2.3069701681201633,909.7767670634729,18.72522103223151,Temperate,Low,Low,138,12.365844491337192,Wheat
Europe,Sandy,7.088971267296982,4.537506188091886,801.8076373024614,21.54130420281246,Tropical,Low,Low,165,13.02313404951316,Soybean
North America,Clay,6.322187217760879,3.887716910062718,726.554201933901,10.81912767783751,Tropical,High,Medium,112,12.586110515420037,Barley
Africa,Clay,6.190459907339945,2.656803702287321,706.6900136531888,21.871390902405725,Tropical,Medium,Medium,121,12.601056884916245,Soybean
Asia,Loam,5.736830078351864,1.8475773217604363,1023.7763240596798,29.169613260968916,Temperate,Medium,Medium,100,15.959018705620304,Rice
South America,Loam,6.857956986076084,2.647458961669984,687.0451991658116,22.681889263008518,Tropical,Low,High,154,14.041042822664162,Corn
Africa,Clay,6.565008132831964,1.4615785687156695,865.564234568617,24.62135069768915,Temperate,High,Low,138,14.262320673592352,Soybean
Asia,Sandy,7.0459734426111735,4.805768114902724,798.4969271458444,23.745449221265346,Dry,Low,Low,154,15.515128085268687,Soybean
Europe,Clay,7.271239528483546,1.8876018431374915,618.6860236445732,28.546930332788513,Tropical,High,Low,115,14.30790889481448,Soybean
Europe,Sandy,7.08311640518274,2.8051764521170197,1151.7240968390267,9.570920705383557,Tropical,Medium,Low,172,11.280603059078617,Barley
North America,Clay,6.2756521798338625,4.214150637850413,639.9922871204707,19.682377126923225,Tropical,Low,High,140,13.527471868637024,Corn
South America,Loam,6.526736420449831,4.956871015831,665.3906309745976,19.81702068718724,Tropical,High,Low,109,14.415544735673834,Wheat
Africa,Loam,6.245066547519102,1.274854710895844,672.9275222348741,14.051666704548193,Temperate,Low,High,151,9.37362344331133,Barley
North America,Clay,7.184651009499868,2.4929646255169353,520.5684003563845,25.55058803333159,Dry,High,High,120,14.560088039638377,Corn
South America,Clay,6.59606471332848,3.0842927620335514,467.9034664612352,29.098196760305953,Tropical,High,Low,151,14.578323883989484,Soybean
Europe,Loam,6.193925319469117,2.5630206093185484,1082.0918290407008,27.890187535265493,Tropical,High,Low,147,16.277361749249206,Rice
Europe,Loam,6.657613509023881,3.5295652973135496,956.8255181729401,21.552956294363515,Dry,High,Low,131,14.699326616272025,Wheat
North America,Clay,6.349701685736174,4.631354055534136,459.95805149646867,16.209573366564,Continental,High,Low,133,11.524053355833502,Barley
North America,Loam,7.1436618931707185,3.6380430745630807,618.4487639706159,27.596419618208845,Continental,Low,Medium,151,14.535637214768542,Wheat
North America,Clay,6.889281917787455,1.8748624519917092,978.0495001673017,15.912995515463251,Tropical,Low,Medium,96,11.659252202650862,Barley
Asia,Loam,5.875444811384504,1.3535397879380748,942.5256967692858,23.797732347890214,Tropical,High,High,173,14.930502676525848,Rice
Europe,Sandy,7.148653783758538,3.520159513919929,407.4748616654842,24.67696026899064,Dry,Medium,Medium,135,13.454543351652765,Soybean
Asia,Clay,6.372839197459186,3.667087639135589,1145.325301299319,20.518985905480466,Tropical,Medium,High,107,16.5814178744363,Corn
Africa,Clay,6.1080605448959995,2.2724177876138882,928.9256492635393,32.2472989947905,Continental,High,High,124,18.04860054638432,Rice
South America,Loam,5.660444492911428,2.2487854728704146,761.836518909131,19.815602193281048,Dry,Low,High,175,13.720343254748023,Corn
North America,Clay,6.661900759776358,4.962716628263063,925.9499756797348,21.246542978208645,Dry,High,Low,108,16.496430311514096,Soybean
North America,Clay,7.2368215758827645,2.516510633502588,1130.309253838448,29.369587105150178,Temperate,Low,High,144,18.734104302393686,Rice
Africa,Loam,6.686316438078936,1.2133919879555908,1070.227182652246,23.12754008415518,Tropical,Medium,Medium,100,15.002727270366751,Rice
Africa,Clay,5.8347140644735624,3.0014377848622424,911.6583349511593,19.19814499708776,Dry,High,Medium,130,14.607774863236859,Soybean
Asia,Clay,6.910278291141127,2.8206879669346256,810.8153639693943,13.969998994637653,Dry,Low,High,136,12.18837352648683,Barley
Europe,Sandy,7.176309949977285,4.211243739298002,1110.832084142955,24.269879882761117,Temperate,Medium,Medium,127,17.013988788832755,Rice
Africa,Sandy,6.666381608554195,3.3713607220324406,1412.3893930812437,21.9316165890578,Temperate,Low,Low,129,16.23628490925645,Soybean
North America,Clay,7.261946011279315,4.531659266074889,839.0049968056253,16.20858965556205,Continental,Low,Medium,151,13.5037906491645,Barley
North America,Loam,5.750441119033663,1.802211911381066,1312.5055318665031,21.23916488437012,Continental,High,Low,126,15.472733240661132,Wheat
Asia,Sandy,7.051823065614612,1.5117476980471327,916.4334088960117,20.78581174934409,Dry,High,High,142,14.42437901228082,Corn
Asia,Loam,7.384766908004554,1.2992848207798922,650.6843306919523,16.607572974874603,Continental,Medium,Medium,104,10.556015888810396,Barley
Africa,Loam,6.056736963325314,4.193172788836747,787.6471600279742,22.39720759043032,Tropical,Medium,Low,153,14.004468905183543,Wheat
South America,Clay,5.8119617273978665,2.9139844650238476,647.7627230371049,24.25534607010307,Dry,Low,Low,99,13.596890692716858,Soybean
North America,Clay,7.144762422370709,1.2279149079894731,422.84661624915157,18.030990657782468,Dry,Low,Low,145,7.9330329193894,Soybean
Europe,Clay,7.030320657633533,4.761676829202988,699.1007031456734,20.86980574842854,Dry,Low,High,179,14.546249920423428,Corn
North America,Sandy,7.176460842163602,2.4456151162687454,135.04885601778074,12.655382681649032,Temperate,Low,Low,137,5.576415384185251,Barley
South America,Loam,6.5257941110376185,4.478424329899109,615.106802374089,28.64557384034767,Tropical,Medium,Low,143,15.789085249935457,Wheat
South America,Loam,6.641754833678952,1.7410814215332948,621.5349219623106,22.0104412910147,Continental,Low,Low,156,10.79973450400469,Wheat
Asia,Clay,5.786002245331453,2.498192973518325,692.1754593702043,20.337468406236376,Continental,Low,Medium,99,12.583215433213295,Soybean
North America,Loam,5.8502462802607065,3.691058457649867,880.3121216775437,22.34157792469569,Continental,Low,High,130,15.624581993158127,Corn
South America,Loam,5.607028925826087,2.5061211511571932,466.3122492194744,26.746625314729222,Dry,Medium,Low,170,13.691166268306093,Wheat
South America,Sandy,7.341479300685271,1.160236476202778,793.7882134258197,15.451582915090832,Tropical,High,Low,135,10.883232902206933,Barley
North America,Sandy,6.730507306564828,4.041697246729887,836.321813250702,23.710764021882284,Dry,Low,Low,106,15.027604392591181,Soybean
Africa,Clay,7.025786671108728,1.1818100017431838,1204.7201135084952,18.58949989981357,Tropical,Medium,Medium,170,15.050922863584663,Soybean
Europe,Clay,7.178360789960597,1.6427183388473807,844.2983246556789,9.579435302507058,Continental,High,Low,164,10.271845209988971,Barley
Asia,Sandy,5.878278200045969,4.6894699386804115,826.2380180687767,20.432142585392175,Continental,High,Low,101,15.623026646939344,Soybean
North America,Loam,6.854786259777746,3.2631262193639854,702.5683954708588,16.34521862142263,Dry,High,High,112,13.905869464234081,Barley
Asia,Clay,5.968851200023029,2.380334982052935,1106.770988206435,20.689222524403917,Tropical,Low,High,138,14.528421507000285,Corn
North America,Loam,6.091309083224971,3.478463707779689,599.36403381544,14.522832713527066,Continental,High,Low,126,11.409477705927628,Barley
North America,Clay,6.8562276619084175,3.1720857234670565,687.9626949563582,9.887692076395528,Temperate,Low,High,149,10.141799363489481,Barley
North America,Sandy,5.623616921378446,1.369442112445514,754.0902689279305,23.20239897600412,Temperate,Medium,Low,105,12.231473174398392,Soybean
South America,Loam,5.878786835769692,1.0201062104392125,969.8021826553106,19.473815159593663,Continental,High,Medium,162,13.71961493279217,Wheat
Asia,Loam,6.304812518598624,4.538347552918455,963.2013697548847,15.255417395875813,Dry,Low,High,173,15.396991708829711,Barley
South America,Loam,6.959423812994844,4.760883222285139,771.1063169400413,15.264766710797355,Continental,High,High,110,15.355209709315186,Barley
Africa,Clay,5.774178916157513,3.9355325232101652,748.2291199260337,21.597006167977902,Tropical,Low,Medium,114,14.233332267666736,Soybean
Africa,Sandy,6.966000214445247,3.634645419759068,744.5367886868039,23.575812003803424,Temperate,Low,Medium,107,15.451350083268693,Soybean
Asia,Clay,5.697474413765332,1.3026444156164434,843.9568646848923,24.07084741666176,Tropical,Low,High,126,13.62539567128698,Corn
North America,Sandy,6.977733354266065,1.1297737841887479,829.7820151692744,16.602795385341434,Temperate,Low,Low,119,9.851712194256026,Barley
Asia,Sandy,7.087141309077603,1.1271139374292978,895.4701279472947,17.701615657553532,Dry,High,Low,147,10.926658535344131,Barley
Africa,Loam,6.415857988868056,1.9060865041444228,825.9000902016198,18.491830582323697,Temperate,High,High,90,13.944936973729567,Corn
Asia,Sandy,6.225119593118189,4.2228581026728715,490.53920221232687,9.178450660760802,Dry,Low,Medium,106,9.220217972382395,Barley
Asia,Sandy,6.631376344282011,1.7306895369586726,939.4130548028775,18.80416809965481,Tropical,Medium,Low,161,12.465090636117237,Soybean
North America,Sandy,6.341522403531852,3.4067286560731844,892.3332589422727,17.333476332860645,Tropical,High,Low,136,13.499941188333866,Barley
Africa,Clay,6.164219566616249,4.712407342039146,1037.5438354332803,27.677811889577075,Continental,Medium,Medium,167,18.493588181917236,Rice
North America,Loam,6.601326758881703,2.612831024533009,658.6878842333055,18.91773888614276,Dry,High,High,137,13.243882684603191,Corn
South America,Sandy,6.209795366973108,2.652690068830878,706.956626676384,18.556023486502568,Tropical,Low,High,147,11.843058845660739,Corn
South America,Loam,6.920229532674559,1.3829162189775892,859.9814876734526,20.49534537961705,Continental,Medium,Low,97,11.296190919595205,Wheat
North America,Loam,6.133173519817302,2.142798376179058,348.7735385014111,16.684032758123205,Tropical,High,Low,119,9.564480619098664,Barley
Africa,Sandy,7.165859431148456,3.161186127161229,1126.371379817822,18.50701631195187,Tropical,High,Medium,93,15.649924370739695,Soybean
Africa,Loam,6.048769210405175,4.606332021148271,861.1228722502432,11.936691209798862,Temperate,Medium,Medium,95,12.758858989500458,Barley
North America,Clay,5.967793862944407,1.8435449107231525,782.8783821057508,14.67232655051528,Dry,High,Low,121,11.387511236749432,Barley
North America,Clay,6.819011963302654,3.7521822282965154,814.6869038482238,18.31810668444798,Tropical,Medium,High,162,14.792363167504986,Corn
Africa,Loam,6.6308399352154845,2.7690091060782365,569.6263230826452,17.729157069202056,Continental,High,Medium,163,12.351886947747278,Barley
Asia,Sandy,5.826038227629772,1.9352513323722564,1009.7414252833128,28.277035565441476,Temperate,Medium,Medium,100,15.840750325690811,Rice
Asia,Sandy,5.5193737654819355,4.431820363660229,621.0125292917269,18.059510464501997,Temperate,Medium,Medium,148,12.673879508651186,Soybean
Asia,Clay,6.228225550020999,3.2648600630104663,964.6618904208367,14.750603795536227,Tropical,High,High,91,14.38926582318018,Barley
South America,Sandy,6.018776801486393,1.3503651896237856,656.8659972564722,16.50004103214085,Temperate,High,Low,179,9.780912274850369,Barley
South America,Clay,6.168802357977498,2.578289261275695,218.6023561356717,18.12588971689097,Tropical,High,Low,135,8.864606265268451,Soybean
Africa,Sandy,6.222149452682075,2.6338223256339304,854.2075601524251,17.70454844890504,Dry,High,Low,105,12.34216001135921,Barley
Asia,Sandy,5.993039811275966,4.904130794400816,1015.8226607987855,17.105494838317835,Temperate,Medium,Low,111,14.001994323496099,Barley
Europe,Loam,7.152129369096571,3.692368523644868,581.3126835807177,23.80652781704726,Dry,High,Medium,93,14.229466286942499,Wheat
Asia,Clay,5.569878492811977,4.9590256536373385,632.9428588818483,20.35124289107397,Tropical,High,Medium,166,15.339919535150432,Soybean
Europe,Sandy,6.73754415408201,3.6614608336756174,1023.0866594762269,11.576496530070873,Tropical,High,High,105,12.985202178363515,Barley
Africa,Loam,5.532400794678934,4.273521699118141,1093.9165074721773,21.477136432824423,Dry,Low,High,170,16.355382636133324,Corn
Asia,Loam,6.148658754703036,3.7059349980824177,664.6009723082938,24.501992941975317,Temperate,Medium,High,143,15.863963402259252,Corn
Asia,Sandy,7.037162661826404,1.9050897200127448,468.67535846444525,17.377759318686742,Continental,Medium,Medium,149,10.300245612431544,Barley
Europe,Clay,5.744014827153778,3.8055331422387604,881.0081086874372,14.175945303306982,Temperate,High,Low,116,13.006799951441646,Barley
Europe,Clay,6.430673867878972,1.0547296590427244,758.195780069728,22.667425384122637,Continental,Medium,Low,137,11.972928937799516,Soybean
Europe,Loam,6.295768351114046,4.223915603470335,745.4610835695079,25.834439378449282,Continental,Medium,High,117,17.111537861876556,Corn
South America,Sandy,5.754971360280493,4.200825390734316,1043.2624078698807,20.835696066053153,Dry,Low,Medium,147,15.093863746452312,Soybean
South America,Sandy,7.175061668152111,3.457943110046525,744.0863391466913,12.039282361028361,Continental,Medium,Medium,127,11.835659350698347,Barley
